,log2FoldChange,padj,baseMean,t,P.Value,B
243036_at,-0.725090791,0.000387667,2.783415,-4.058223439,0.000125959,0.075601182
1569180_at,-0.837950378,0.000387667,9.014394286,-4.058183987,0.000125976,0.0754701
1565627_a_at,0.643143036,0.000387667,6.240141857,4.058169691,0.000125982,0.075422603
238622_at,0.700526165,0.00038799,4.660001286,4.057899215,0.0001261,0.074523951
226326_at,-0.593687208,0.000388089,9.435842714,-4.057796118,0.000126146,0.074181425
236778_at,1.43102889,0.000388481,6.251777857,4.057475469,0.000126286,0.073116142
223622_s_at,-0.765250698,0.000388514,5.819338286,-4.057421066,0.00012631,0.072935403
214933_at,1.016083112,0.000389017,3.611745429,4.057018548,0.000126486,0.071598212
231874_at,0.710180563,0.000389163,6.313360143,4.056880261,0.000126547,0.071138834
209073_s_at,-0.449013406,0.000389209,7.774720571,-4.056816289,0.000126575,0.070926328
212614_at,-0.786399596,0.000389299,9.446473143,-4.056687645,0.000126631,0.070498994
206224_at,-2.411589058,0.000389299,5.217801286,-4.056667449,0.00012664,0.070431908
214043_at,-1.337034836,0.000389299,3.915470286,-4.056661007,0.000126643,0.070410508
224668_at,-0.557682019,0.000389661,6.278824571,-4.05636344,0.000126774,0.069422079
37996_s_at,-0.369482893,0.000389877,2.631475143,-4.056173798,0.000126857,0.068792166
230557_at,-0.701630547,0.00039026,3.790766,-4.055860615,0.000126995,0.067751946
217860_at,-0.441902035,0.000390377,9.709520286,-4.055744802,0.000127046,0.06736729
204868_at,0.579586106,0.000390607,8.296896,4.055545002,0.000127134,0.066703703
213645_at,-0.724691177,0.000390856,8.915058714,-4.055331226,0.000127228,0.065993717
235457_at,1.00213185,0.000391408,9.685863286,4.054894812,0.000127421,0.064544391
208945_s_at,-0.478687132,0.000391856,8.664977143,-4.05453486,0.00012758,0.063349065
230270_at,-0.50601524,0.000392098,10.01022171,-4.054327532,0.000127672,0.062660601
1553954_at,-0.692086442,0.000392168,8.153485429,-4.054245823,0.000127708,0.062389283
209321_s_at,0.950223314,0.00039233,7.760769714,4.054097498,0.000127773,0.061896765
222372_at,-0.825544399,0.000392407,8.636532714,-4.054011315,0.000127812,0.0616106
1554819_a_at,-0.485364441,0.000392666,5.688580286,-4.053790841,0.000127909,0.060878543
219026_s_at,0.671713616,0.000392726,5.153111571,4.053717216,0.000127942,0.060634087
1555866_a_at,-0.702157317,0.000393047,4.412896429,-4.053451947,0.00012806,0.059753336
209410_s_at,0.932902616,0.000393767,4.720201286,4.05289405,0.000128307,0.057901114
212315_s_at,0.77210947,0.000393976,5.130684857,4.052711568,0.000128389,0.057295306
201715_s_at,-0.415613162,0.0003944,8.194323571,-4.052371064,0.00012854,0.056164941
202746_at,-1.452330294,0.000395868,7.242804571,-4.051269261,0.000129032,0.052507707
228326_at,-0.547169588,0.00039619,5.864577714,-4.051005054,0.00012915,0.051630811
209209_s_at,-1.650641606,0.000396439,6.635715286,-4.050794006,0.000129244,0.050930375
222600_s_at,0.672779361,0.000396755,8.873542,4.050534201,0.000129361,0.050068152
216903_s_at,-0.463086669,0.000397031,7.866452143,-4.050304231,0.000129464,0.049304971
212318_at,0.514179411,0.000397192,9.637192571,4.05015712,0.00012953,0.048816783
219563_at,-1.101122994,0.000397582,7.274503429,-4.049844454,0.00012967,0.047779233
225785_at,-0.681315088,0.00039899,9.877570571,-4.048794463,0.000130143,0.044295318
212503_s_at,-1.011387031,0.000399283,8.231066857,-4.048552276,0.000130252,0.043491807
208913_at,0.613570076,0.000399552,8.344614,4.048328803,0.000130353,0.042750416
217673_x_at,0.320857477,0.000400584,10.65162943,4.047554188,0.000130703,0.040180753
208445_s_at,0.453583869,0.000400874,8.643034,4.047315564,0.000130811,0.039389214
239539_at,-0.769569176,0.000400876,4.038047857,-4.047284492,0.000130825,0.03928615
224162_s_at,0.795596316,0.000401135,6.900949714,4.047068281,0.000130923,0.038568986
210321_at,1.235627309,0.000401247,3.187110429,4.046945802,0.000130979,0.038162741
201940_at,-0.897187014,0.000401247,7.150813714,-4.046928148,0.000130987,0.038104186
242100_at,-1.151218024,0.000401289,4.548887571,-4.046868639,0.000131014,0.037906804
217907_at,0.485314819,0.000401702,10.05878686,4.046541825,0.000131162,0.036822857
224430_s_at,0.476923844,0.000401793,7.444022143,4.046447051,0.000131205,0.036508529
239024_at,-0.614902363,0.000402066,6.654960143,-4.046221329,0.000131308,0.035759917
219657_s_at,0.567354172,0.000402124,5.775349857,4.046149759,0.00013134,0.035522558
203599_s_at,-0.548546922,0.000402302,7.117722714,-4.045992328,0.000131412,0.035000455
1559616_x_at,-0.415453852,0.000403326,4.480167571,-4.045228097,0.00013176,0.032466147
231136_at,-1.955037418,0.000403359,5.333357,-4.045174999,0.000131784,0.032290077
